CPL-PRODI (Capaian Pembelajaran Lulusan Program Studi) yang dibebankan pada Mata Kuliah,
S4,"Dapat berkontribusi dalam peningkatan mutu kehidupan bermasyarakat, berbangsa, dan bernegara berdasarkan Pancasila."
S8,Menunjukkan sikap bertanggungjawab atas pekerjaan di bidang keahliannya secara mandiri.
KK15,Mampu memahami konsep dasar dan metode analisis pada Big Data
KK16,Mampu menggunakan konsep dan prinsip-prinsip keilmuan big data dalam suatu aplikasi big data analytic
KK17,Mampu memahami dan mengikuti perkembangan teknologi Big Data
P2,Menguasai konsep dan ilmu probabilitas dan statistik untuk mendukung dan menganalisis data dan informasi.
P19,Menjelaskan bagaimana organisasi dapat menggunakan sistem informasi untuk mendukung pengambilan keputusan dan kepentingan kompetitif
P30,Mendemonstrasikan kemampuan komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis dan non-teknis.
P35,Bekerja sama dengan individu yang memiliki latar belakang sosial dan budaya yang beragam
CPMK (Capaian Pembelajaran Mata Kuliah),
CPMK 1,Mahasiswa memahami konsep dasar Big Data
CPMK 2,Mahasiswa mampu memahami teknik analytic terhadap Big Data
CPMK 3,Mahasiswa mengenal dan dapat mengikuti perkembangan Teknologi Big Data
